LavatoryID,Description,City,Street,PostalCode,Country,Longitude,Latitude,isOwnedByWall,isHandicappedAccessible,Price,canBePayedWithCoins,canBePayedInApp,canBePayedWithNFC,hasChangingTable,LabelID,hasUrinal,FID
Wall_121141,"Wall CT, Am Weißen See, Parkstr.",Berlin,"Am Weißen See, Parkstr. ggü. 80 (0-24 Uhr)",13086,Deutschland,13.45874385,52.55557439,1,1,0.5,1,1,1,1,1,1,806
Wall_121168,"Wall CT, Schillerpromenade",Berlin,Schillerpromenade 37 (0-24 Uhr),12049,Deutschland,13.42199925,52.47758451,1,1,0.5,1,1,1,0,1,1,138
Wall_121169,"Wall CT, Sonnenallee",Berlin,Sonnenallee 262 (0-24 Uhr),12057,Deutschland,13.46431748,52.4703125,1,1,0.5,1,1,1,0,1,1,141
Wall_121170,"Wall CT, Boddinplatz, Mainzer Str.",Berlin,"Boddinplatz, Mainzer Str.   (0-24 Uhr)",12053,Deutschland,13.4284121,52.47991335,1,1,0.5,1,1,1,0,1,1,144
Wall_121238,"Wall CT, Seestr.",Berlin,Seestr. 94 (0-24 Uhr),13353,Deutschland,13.35159522,52.55038285,1,1,0.5,1,1,1,0,1,0,23
Wall_121945,"Wall CT, Savignyplatz",Berlin,Savignyplatz 1 (0-24 Uhr),10623,Deutschland,13.322725,52.505252,1,1,0.5,1,1,1,0,1,0,278
Wall_121946,"Wall CT, Schönefelder Chaussee",Berlin,Schönefelder Chaussee 100 (0-24 Uhr),12524,Deutschland,13.52751847,52.4109873,1,1,0.5,1,1,1,0,1,0,170
Wall_121947,"Wall CT, Briesingstr.",Berlin,Briesingstr. ggü. 1 (0-24 Uhr),12307,Deutschland,13.39849866,52.38651785,1,1,0.5,1,1,1,0,1,1,43
Wall_121948,"Wall CT, Kurt-Schumacher-Damm",Berlin,Kurt-Schumacher-Damm   (0-24 Uhr),13627,Deutschland,13.29402034,52.53625419,1,1,0.5,1,1,1,0,1,0,59
Wall_121956,"Wall CT, Bundesallee, Bundesplatz",Berlin,"Bundesallee, Bundesplatz 6 (0-24 Uhr)",10715,Deutschland,13.32828671,52.47900696,1,1,0.5,1,1,1,0,1,0,94
Wall_122375,"Wall CT, Fulhamer Allee",Berlin,Fulhamer Allee ggü. 34 (0-24 Uhr),12353,Deutschland,13.44022382,52.44771055,1,1,0.5,1,1,1,0,1,1,808
Wall_122395,"Wall CT, Park am Weinbergsweg, Weinbergsweg",Berlin,"Park am Weinbergsweg, Weinbergsweg (0-24 Uhr)",10119,Deutschland,13.40308869,52.53194771,1,1,0.5,1,1,1,1,1,1,880
Wall_122523,"Wall CT, Am Treptower Park",Berlin,Am Treptower Park ggü. 31-32 (0-24 Uhr),12435,Deutschland,13.46437459,52.48746676,1,1,0.5,1,1,1,0,1,0,113
Wall_122524,"Wall CT, S-Bhf. Friedrichshagen, Dahlwitzer Landstr.",Berlin,"S-Bhf. Friedrichshagen, Dahlwitzer Landstr.   (0-24 Uhr)",12587,Deutschland,13.62535,52.457726,1,1,0.5,1,1,1,0,1,1,66
Wall_122525,"Wall CT, Comeniusplatz, Torellstr.",Berlin,"Comeniusplatz, Torellstr. ggü. 1 (0-24 Uhr)",10243,Deutschland,13.44733616,52.51144617,1,1,0.5,1,1,1,0,1,1,119
Wall_122526,"Wall CT, Traveplatz, Weichselstr.",Berlin,"Traveplatz, Weichselstr. ggü. 13-14 (0-24 Uhr)",10247,Deutschland,13.46902428,52.51123154,1,1,0.5,1,1,1,0,1,0,132
Wall_122527,"Wall CT, Skalitzer Str.",Berlin,Skalitzer Str. ggü. 6 (0-24 Uhr),10997,Deutschland,13.43031102,52.49996024,1,1,0.5,1,1,1,0,1,0,55
Wall_122528,"Wall CT, Alfred-Scholz-Platz, Richardstr.",Berlin,"Alfred-Scholz-Platz, Richardstr. 1 (0-24 Uhr)",12043,Deutschland,13.438141,52.478802,1,1,0.5,1,1,1,0,1,0,230
Wall_122529,"Wall CT, Ludwigkirchplatz",Berlin,Ludwigkirchplatz 12 (0-24 Uhr),10719,Deutschland,13.32239001,52.49714131,1,1,0.5,1,1,1,1,1,0,98
Wall_122530,"Wall CT, Turmstr.",Berlin,Turmstr. ggü. 20a-21 (0-24 Uhr),10178,Deutschland,13.34809497,52.52609309,1,1,0.5,1,1,1,0,1,1,115
Wall_122531,"Wall CT, Invalidenstr.",Berlin,Invalidenstr. ggü. 44 (0-24 Uhr),10117,Deutschland,13.37816284,52.52895757,1,1,0.5,1,1,1,0,1,1,148
Wall_122572,"Wall CT, Burgstr. (James-Simon-Park)",Berlin,Burgstr. (James-Simon-Park) ggü. 28 (0-24 Uhr),10178,Deutschland,13.40042936,52.52199959,1,1,0.5,1,1,1,0,1,1,22
Wall_122573,"Wall CT, Potsdamer Str.",Berlin,Potsdamer Str. 109 (0-24 Uhr),10785,Deutschland,13.36306169,52.49987905,1,1,0.5,1,1,1,0,1,1,68
Wall_122574,"Wall CT, Museumsinsel, Am Lustgarten",Berlin,"Museumsinsel, Am Lustgarten   (0-24 Uhr)",10178,Deutschland,13.39989808,52.51946733,1,1,0.5,1,1,1,0,1,1,17
Wall_122575,"Wall CT, Str. des 17. Juni",Berlin,Str. des 17. Juni   (0-24 Uhr),10557,Deutschland,13.37553913,52.51637202,1,1,0.5,1,1,1,0,1,1,19
Wall_122576,"Wall CT, Linkstr.",Berlin,Linkstr. ggü. 10 (0-24 Uhr),10785,Deutschland,13.37428942,52.50557041,1,1,0.5,1,1,1,0,1,1,168
Wall_122579,"Wall CT, Leopoldplatz, Müllerstr.",Berlin,"Leopoldplatz, Müllerstr. ggü. 150 (0-24 Uhr)",13347,Deutschland,13.3586066,52.5470043,1,1,0.5,1,1,1,0,1,1,222
Wall_122580,"Wall CT, Ungarnstr.",Berlin,Ungarnstr. ggü. 58 (0-24 Uhr),13349,Deutschland,13.35593646,52.555437,1,1,0.5,1,1,1,0,1,1,108
